objectID,isHighlight,accessionYear,isPublicDomain,objectName,artistDisplayName,artistNationality,artistGender,objectBeginDate,objectEndDate,country,terms,constructionTime
486996.0,True,1997,False,Painting,Anselm Kiefer,German,Homme,1996.0,1996.0,Germany,"['Poppies', 'Roads']",0.0
459110.0,True,1975,True,Painting,Auguste Renoir,French,Homme,1892.0,1892.0,France,"['Female Nudes', 'Bathing']",0.0
437001.0,False,1907,True,"Painting, cassone panel",Master of Charles of Durazzo,Italian,Homme,1381.0,1382.0,Italy,"['Horses', 'Battles', 'Army', 'Kings', 'Men', 'Flags']",1.0
436567.0,False,1970,True,Painting,Francesco Granacci (Francesco di Andrea di Marco),Italian,Homme,1506.0,1507.0,Italy,"['Virgin Mary', 'Bedrooms', 'Beds', 'Infants', 'Women', 'Saint John the Baptist']",1.0
436623.0,False,1891,True,Painting,Frans Hals,Dutch,Homme,1650.0,1653.0,Netherlands,"['Men', 'Portraits']",3.0
436266.0,False,1925,True,Painting,Gerbrand van den Eeckhout,Dutch,Homme,1642.0,1642.0,Netherlands,"['Interiors', 'Men', 'Women', 'Beds']",0.0
437810.0,False,1943,True,"Painting, monochrome overdoor",Giovanni Domenico Tiepolo,Italian,Homme,1747.0,1804.0,Italy,"['Female Nudes', 'Allegory', 'Alligators']",57.0
435666.0,False,1932,True,Painting,Biagio d'Antonio,Italian,Homme,1476.0,1504.0,Italy,"['Men', 'Women', 'Camels', 'Dogs', 'Horses']",28.0
436006.0,False,1929,True,Painting,Gustave Courbet,French,Homme,1870.0,1870.0,France,"['Seascapes', 'Waves']",0.0
488259.0,False,1948,False,Painting,Edouard Vuillard,French,Homme,1928.0,1928.0,France,"['Children', 'Girls', 'Pheasants']",0.0
489974.0,False,1999,False,Painting,André Derain,French,Homme,1906.0,1906.0,France,"['Cities', 'Streets', 'Horses', 'Carriages', 'London']",0.0
438823.0,False,1951,False,Painting,Claude Monet,French,Homme,1883.0,1883.0,France,['Seascapes'],0.0
489124.0,False,1960,False,Painting,Pablo Picasso,Spanish,Homme,1901.0,1901.0,Spain,"['Men', 'Clowns']",0.0
490013.0,False,1999,False,Painting,Pablo Picasso,Spanish,Homme,1901.0,1901.0,Spain,"['Profiles', 'Women']",0.0
459112.0,True,1975,True,Painting,Auguste Renoir,French,Homme,1892.0,1892.0,France,"['Girls', 'Pianos']",0.0
459159.0,True,1975,False,Painting,Albert Marquet,French,Homme,1906.0,1907.0,France,"['Men', 'Portraits']",1.0
459046.0,True,1975,True,Painting,Master of Saint Francis,Italian,Homme,1250.0,1275.0,Italy,"['Men', 'Saints']",25.0
436091.0,False,1947,True,Painting,Honoré Daumier,French,Homme,1863.0,1863.0,France,"['Children', 'Women']",0.0
438158.0,False,2012,True,Painting,Pierre-Auguste Cot,French,Homme,1873.0,1873.0,France,"['Couples', 'Men', 'Women', 'Forests']",0.0
489988.0,False,1999,False,Painting,Fernand Léger,French,Homme,1918.0,1918.0,France,['Abstraction'],0.0
435680.0,False,1972,True,Painting,Abraham Bloemaert,Netherlandish,Homme,1596.0,1596.0,Netherlands,"['Men', 'Women', 'Female Nudes', 'Moses', 'Cows', 'Dogs']",0.0
435713.0,False,1972,True,Painting,Paulus Bor,Dutch,Homme,1635.0,1645.0,Netherlands,['Female Nudes'],10.0
436818.0,False,1964,True,Painting,Thomas de Keyser,Dutch,Homme,1629.0,1629.0,Netherlands,"['Portraits', 'Lutes', 'Music', 'Girls', 'Men', 'Musicians']",0.0
490002.0,False,1999,False,Painting,Joan Miró,Spanish,Homme,1919.0,1919.0,Spain,"['Olive Trees', 'Landscapes']",0.0
438954.0,False,2007,True,Painting,Johan Christian Dahl,Norwegian,Homme,1830.0,1830.0,Norway,"['Children', 'Beaches', 'Clouds', 'Women', 'Night', 'Boats']",0.0
459086.0,True,1975,True,Painting,Pieter de Hooch,Dutch,Homme,1660.0,1668.0,Netherlands,"['Interiors', 'Girls', 'Men', 'Women', 'Smoking', 'Dogs']",8.0
788081.0,True,2018,False,Collage,Juan Gris,Spanish,Homme,1914.0,1914.0,Spain,"['Violins', 'Still Life', 'Bottles']",0.0
486847.0,False,1997,False,Painting,Amedeo Modigliani,Italian,Homme,1917.0,1917.0,Italy,['Female Nudes'],0.0
489996.0,False,1999,False,Painting,Henri Matisse,French,Homme,1916.0,1916.0,France,"['Portraits', 'Women']",0.0
489304.0,False,1963,False,Painting,Pierre Bonnard,French,Homme,1919.0,1919.0,France,"['Fruit', 'Women']",0.0
436037.0,True,1928,True,Painting,Lucas Cranach the Elder,German,Homme,1523.0,1533.0,Germany,"['Paris', 'Men', 'Female Nudes', 'Cupid', 'Juno', 'Minerva', 'Venus', 'Horses']",10.0
436293.0,False,1980,True,Painting,Henri Fantin-Latour,French,Homme,1866.0,1866.0,France,"['Fruit', 'Flowers', 'Still Life', 'Vases']",0.0
436801.0,False,1982,True,Painting,Juan de Flandes,Netherlandish,Homme,1492.0,1502.0,Netherlands,"['Christ', 'Interiors', 'Men', 'Women']",10.0
437083.0,False,1943,True,Painting,Michelino da Besozzo (Michelino de Mulinari),Italian,Homme,1425.0,1435.0,Italy,"['Virgin Mary', 'Birds', 'Joseph', 'Marriage of the Virgin', 'Men', 'Saints']",10.0
436820.0,False,1980,True,Painting,Gustav Klimt,Austrian,Homme,1899.0,1899.0,Austria,"['Portraits', 'Women']",0.0
437853.0,False,1899,True,Painting,Joseph Mallord William Turner,British,Homme,1830.0,1835.0,United Kingdom,"['Buildings', 'Cities', 'Canals', 'Boats', 'Venice']",5.0
437747.0,False,1982,True,Painting,Jan Steen,Dutch,Homme,1663.0,1664.0,Netherlands,"['Food', 'Interiors', 'Men', 'Women', 'Lutes', 'Cats', 'Drinking', 'Sleeping', 'Games']",1.0
459116.0,False,1975,True,Painting,Georges Seurat,French,Homme,1881.0,1882.0,France,"['Men', 'Working']",1.0
500396.0,True,2016,False,Collage,Georges Braque,French,Homme,1914.0,1914.0,France,"['Pipes', 'Bottles', 'Newspapers']",0.0
490033.0,False,1999,False,Painting,Maurice de Vlaminck,French,Homme,1906.0,1906.0,France,"['Men', 'Portraits', 'Smoking', 'Pipes', 'Artists']",0.0
488221.0,True,1947,False,Painting,Pablo Picasso,Spanish,Homme,1905.0,1906.0,Spain,"['Portraits', 'Women']",1.0
437456.0,False,1948,True,Painting,Théodule-Augustin Ribot,French,Homme,1860.0,1891.0,France,"['Boys', 'Girls', 'Men', 'Women', 'Family', 'Portraits']",31.0
484894.0,False,1987,False,Painting,Salvador Dalí,Spanish,Homme,1958.0,1958.0,Spain,['Madonna and Child'],0.0
490037.0,False,1999,False,Painting,Pablo Picasso,Spanish,Homme,1927.0,1927.0,Spain,"['Heads', 'Women']",0.0
490004.0,True,1999,False,Painting,Joan Miró,Spanish,Homme,1928.0,1928.0,Spain,['Women'],0.0
438490.0,False,2001,True,Painting,Emanuel de Witte,Dutch,Homme,1650.0,1650.0,Netherlands,"['Columns', 'Interiors', 'Churches', 'Dogs', 'Human Figures']",0.0
488853.0,False,1955,False,Painting,Edouard Vuillard,French,Homme,1889.0,1889.0,France,"['Brushes', 'Men', 'Self-portraits', 'Palettes']",0.0
812918.0,True,2018,False,Painting,Peter Doig,British,Homme,2017.0,2017.0,United Kingdom,,0.0
503625.0,True,1945,True,Harpsichord,,,Homme,1750.0,1800.0,Italy,"['Men', 'Hunting', 'Mermaids', 'Dogs', 'Landscapes']",50.0
466070.0,True,1981,True,Missal; Manuscript leaf,,,Homme,1270.0,1280.0,France,"['Angels', 'Christ', 'Virgin Mary', 'Saint John the Evangelist', 'Crucifixion']",10.0
466198.0,True,1991,True,Beatus; Manuscript leaf,,,Homme,1175.0,1185.0,,"['Angels', 'Christ', 'Saints']",10.0
466197.0,False,1991,True,Beatus; Bifolium,,,Homme,1175.0,1185.0,,"['Christ', 'Adoration of the Magi']",10.0
194524.0,False,1918,True,Armorial tondo,della Robbia,,Homme,1520.0,1530.0,,"['Grapes', 'Coat of Arms', 'Lions']",10.0
194620.0,False,1920,True,Harpsichord top,Il Poccetti,Italian,Homme,1585.0,1599.0,Italy,,14.0
188000.0,False,1895,True,"Box, painting",Alexander James Strachan,British,Homme,1811.0,1812.0,United Kingdom,"['Portraits', 'Women']",1.0
188005.0,False,1895,True,"Box, painting",British Painter,British,Homme,1832.0,1832.0,United Kingdom,"['Men', 'Portraits']",0.0
198059.0,False,1938,False,"Box, painting","F. B., Switzerland",,Homme,1700.0,1899.0,,"['Animals', 'Men', 'Women']",199.0
206166.0,False,1974,True,"Snuffbox, painting",Les Frères Souchay,Swiss,Homme,1780.0,1800.0,Switzerland,"['Portraits', 'Women']",20.0
209241.0,False,1963,True,"Snuffbox cover, painting",German Painter,German,Homme,1730.0,1765.0,Germany,"['Kings', 'Portraits']",35.0
436699.0,False,1914,False,Painting,Ferdinand Humbert,French,Homme,1871.0,1871.0,France,"['Men', 'Portraits']",0.0
459056.0,False,1975,True,Painting,Master of the Saint Ursula Legend,Netherlandish,Homme,1479.0,1482.0,Netherlands,"['Madonna and Child', 'Saint Anne']",3.0
459043.0,False,1975,True,Painting,Antonio del Massaro da Viterbo,Italian,Homme,1440.0,1450.0,Italy,"['Men', 'Women', 'Angels', 'Christ']",10.0
459025.0,False,1975,True,Painting,Nicola di Maestro Antonio,Italian (active Ancona),Homme,1470.0,1480.0,Italy,['Madonna and Child'],10.0
459085.0,False,1975,True,Painting,Pieter de Hooch,Dutch,Homme,1662.0,1678.0,Netherlands,"['Men', 'Women', 'Playing Cards', 'Dogs', 'Interiors', 'Servants']",16.0
458964.0,False,1975,True,Painting,Goodhart Ducciesque Master,Italian,Homme,1315.0,1330.0,Italy,['Madonna and Child'],15.0
459018.0,False,1975,True,Painting,Master of Marradi,Italian,Homme,1471.0,1535.0,Italy,"['Men', 'Women', 'Funerals']",64.0
459014.0,False,1975,True,Painting,Neri di Bicci,Italian,Homme,1439.0,1491.0,Italy,"['Men', 'Fish', 'Angels']",52.0
461185.0,False,1975,False,Painting,Pepe Romero,,Homme,1957.0,1957.0,,"['Mountains', 'Landscapes']",0.0
461457.0,False,1975,True,Manuscript and illuminations,Cristoforo Cortese,Italian,Homme,1398.0,1410.0,Italy,"['Organs', 'Angels']",12.0
